timestamp, hostName, cpuDemand, cpuUsage, cpuUtilization, cpuIdleTime, energyUsage
2520, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2580, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2580, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2580, host-2, 39200.0, 39200.0, 0.8, 0.25, 1331, 100.0
2580, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2640, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2640, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2640, host-2, 31360.0, 31360.0, 0.8, 0.2, 1822, 90.0
2640, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2700, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2700, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2700, host-2, 29400.0, 29400.0, 0.8, 0.1875, 466, 87.5
2700, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2760, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2760, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2760, host-2, 25480.0, 25480.0, 0.8, 0.1625, 956, 82.5
2760, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2820, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2820, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2820, host-2, 15680.0, 15680.0, 0.8, 0.1, 2448, 70.0
2820, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2880, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2880, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2880, host-2, 9800.0, 9800.0, 0.8, 0.0625, 1508, 62.5
2880, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2940, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
